DTM;P;T;R
1971-01-16;0;26.85;1.66559027
1971-02-16;0;29.4;0.898880704
1971-03-16;0;31.65;0.412771634
1971-04-16;2;33.3;0.138955143
1971-05-16;10.7;32.95;0.069360606
1971-06-16;174.6;29.9;1.137490546
1971-07-16;197.8;26.95;9.21338101
1971-08-16;422;25.95;57.71083141
1971-09-16;329.9;26.45;63.86322244
1971-10-16;39.2;27.7;21.03041647
1971-11-16;0;27.55;5.330122796
1971-12-16;0;26.35;2.190765854
1972-01-16;0;26.85;0.997365747
1972-02-16;0;29.1;0.514414748
1972-03-16;0;31.25;0.182934212
1972-04-16;0;33;0.081525029
1972-05-16;50.7;32.45;0.117901334
1972-06-16;67.4;28.9;2.241061066
1972-07-16;268.9;27.55;13.11184475
1972-08-16;355.4;26.75;42.79771628
1972-09-16;172.9;27.3;40.92626654
1972-10-16;91.1;28.2;15.93071593
1972-11-16;4.6;27.6;5.842432163
1972-12-16;0;25.9;2.974435433
1973-01-16;0;26.7;1.431659052
1973-02-16;0;29.8;0.699688272
1973-03-16;0;32.1;0.283056773
1973-04-16;6.1;33.8;0.094391246
1973-05-16;95.8;31.95;0.056494389
1973-06-16;154.8;28.65;1.426980428
1973-07-16;346.5;27.4;8.447256272
1973-08-16;351.5;26;76.10952169
1973-09-16;217.2;27.1;71.69991823
1973-10-16;28.7;28;15.80205376
1973-11-16;0;27.6;5.351176605
1973-12-16;0;24.4;2.354517706
1974-01-16;0;24.35;1.119594808
1974-02-16;0;27.95;0.508215571
1974-03-16;0;29.95;0.239428601
1974-04-16;0.1;28.7;0.110298569
1974-05-16;12.7;32;0.040353135
1974-06-16;135.9;28.75;1.608277122
1974-07-16;303.9;25.9;27.52200777
1974-08-16;375.1;25.65;86.67151617
1974-09-16;283.5;25.95;104.5438612
1974-10-16;88.6;26.95;56.23706474
1974-11-16;4.2;26.35;9.891781541
1974-12-16;0;24.95;3.720676018
1975-01-16;0;25.15;1.680795799
1975-02-16;0;27.85;0.841333625
1975-03-16;0;30.75;0.261535101
1975-04-16;0;32.45;0.052166662
1975-05-16;22.9;32.4;0.029358368
1975-06-16;195.2;28.9;0.07298654
1975-07-16;286.5;25.9;13.06505851
1975-08-16;219.7;25.7;23.28785272
1975-09-16;458.1;25.6;109.6084721
